con_date,c13,c9
2013-08-23 00:00:00,220058719.0291,7.6399
2013-08-26 00:00:00,219186257.5241,7.8053
2013-08-27 00:00:00,219428805.7289,7.8036
2013-08-28 00:00:00,218772898.3594,7.7949
2013-08-29 00:00:00,218552788.6623,7.7662
2013-08-30 00:00:00,217877008.5025,7.7758
2013-09-02 00:00:00,218148855.9831,7.7879
2013-09-03 00:00:00,218240543.4344,7.8777
2013-09-04 00:00:00,217599867.7291,7.8934
2013-09-05 00:00:00,217808759.1796,7.8552
2013-09-06 00:00:00,217714362.2399,7.8985
2013-09-09 00:00:00,218073132.5159,8.1909
2013-09-10 00:00:00,218063233.9242,8.2555
2013-09-11 00:00:00,218074427.3785,8.2772
2013-09-12 00:00:00,218151196.6023,8.3411
2013-09-13 00:00:00,218211012.7547,8.263
2013-09-16 00:00:00,218407236.8504,8.2307
2013-09-17 00:00:00,218374497.8581,8.0729
2013-09-18 00:00:00,218780311.4717,8.0703
2013-09-23 00:00:00,219481038.1108,8.1459
2013-09-24 00:00:00,219478185.3663,8.0663
2013-09-25 00:00:00,219465645.6998,8.0278
2013-09-26 00:00:00,219510967.3728,7.9007
2013-09-27 00:00:00,219372944.3027,7.9309
2013-09-30 00:00:00,219517751.7619,7.9624
2013-10-08 00:00:00,220133858.8843,8.0169
2013-10-09 00:00:00,220321790.0873,8.0361
2013-10-10 00:00:00,220486858.1787,7.9565
2013-10-11 00:00:00,220152888.999,8.0881
2013-10-14 00:00:00,220437019.7393,8.0948
2013-10-15 00:00:00,220366860.4379,8.0597
2013-10-16 00:00:00,220476903.2782,7.9475
2013-10-17 00:00:00,220544851.5553,7.9369
2013-10-18 00:00:00,220623460.9874,7.9579
2013-10-21 00:00:00,220703609.7381,8.0711
2013-10-22 00:00:00,220738095.753,8.0011
2013-10-23 00:00:00,220872611.8698,7.926
2013-10-24 00:00:00,220460338.2288,7.8678
2013-10-25 00:00:00,220434731.8501,7.7683
2013-10-28 00:00:00,220485612.4552,7.765
2013-10-29 00:00:00,220310050.8438,7.8185
2013-10-30 00:00:00,221667063.9737,7.8905
2013-10-31 00:00:00,222876206.9216,7.7871
2013-11-01 00:00:00,223179443.6465,7.8195
2013-11-04 00:00:00,223204996.1729,7.8054
2013-11-05 00:00:00,223249199.1199,7.8134
2013-11-06 00:00:00,223483599.8427,7.7374
2013-11-07 00:00:00,223446136.0823,7.7205
2013-11-08 00:00:00,223918773.3693,7.6309
2013-11-11 00:00:00,223733952.9858,7.6578
2013-11-12 00:00:00,223816679.552,7.7112
2013-11-13 00:00:00,223831046.5166,7.568
2013-11-14 00:00:00,223806337.2094,7.6044
2013-11-15 00:00:00,223719498.0606,7.7165
2013-11-18 00:00:00,224603501.6968,7.9067
2013-11-19 00:00:00,224704243.6621,7.8703
2013-11-20 00:00:00,224691281.256,7.9126
